sequence_name,part1_iou_j,part2_iou_j,part3_sam2_s1_iou_j,part3_sam2_s2_iou_j,part3_sam3_s1_iou_j,part3_sam3_s2_iou_j,part1_f,part2_f,part3_sam2_s1_f,part3_sam2_s2_f,part3_sam3_s1_f,part3_sam3_s2_f
blackswan,0.511761,0.955139,0.955155,0.954196,0.955966,0.956052,0.124880,0.928233,0.928346,0.921076,0.935478,0.935562
bmx-trees,0.346575,0.640291,0.745507,0.581130,0.184307,0.365081,0.050102,0.684978,0.796067,0.673964,0.219235,0.453436
car-shadow,0.404795,0.974606,0.974851,0.972993,0.973199,0.712237,0.147814,0.948751,0.949308,0.947693,0.957897,0.714693
horsejump-low,0.617643,0.723479,0.723656,0.692198,0.760939,0.636592,0.187754,0.769774,0.769825,0.734049,0.744040,0.625263
tennis,0.580021,0.932015,0.931044,0.841103,0.825544,0.765717,0.073870,0.967099,0.959095,0.873864,0.828218,0.816202
